brand,category,current_price,href,item_id,old_price,title
Yamaha,Цифрові піаніно,22923.0,https://rozetka.com.ua/ua/305993838/p305993838/,305993838,2400.0,Синтезатор Цифрове піаніно YAMAHA P-45
Casio,Цифрові піаніно,113000.0,https://rozetka.com.ua/ua/359331396/p359331396/,359331396,0.0,Цифровое пианино CASIO PX-S7000 HM
Kawai,Цифрові піаніно,30357.0,https://rozetka.com.ua/ua/kawai_ka_0097/p133310867/,133310867,0.0,Цифрове піаніно Kawai ES110 White (KA-0097)
Yamaha,Цифрові піаніно,89547.0,https://rozetka.com.ua/ua/yamaha_cp73/p137081755/,137081755,89547.0,Сценічне піаніно Yamaha CP73
Yamaha,Цифрові піаніно,109851.0,https://rozetka.com.ua/ua/yamaha_clp745r/p256253486/,256253486,109851.0,Цифрове піаніно Yamaha Clavinova CLP-745 Rosewood (clp745r)
Roland,Цифрові піаніно,14929.0,https://rozetka.com.ua/ua/roland_gopiano/p24227042/,24227042,0.0,Цифрове піаніно Roland GO:PIANO GO-61PC (GOPIANO)
Casio,Цифрові піаніно,105000.0,https://rozetka.com.ua/ua/casio-362654/p359600976/,359600976,105000.0,Цифрове піаніно Casio PX-S7000HM (362654)
Yamaha,Цифрові піаніно,206979.0,https://rozetka.com.ua/ua/yamaha_cvp805b/p256254231/,256254231,206979.0,Цифрове піаніно Yamaha Clavinova CVP-805 Black (cvp805b)
Casio,Цифрові піаніно,105000.0,https://rozetka.com.ua/ua/casio-362655/p359600970/,359600970,105000.0,Цифрове піаніно Casio PX-S7000WE (362655)
Casio,Цифрові піаніно,27690.0,https://rozetka.com.ua/ua/casio_cdp_s360bk/p334812670/,334812670,27690.0,Цифрове піаніно Casio CDP-S360 Black (CDP-S360BK)
Casio,Цифрові піаніно,10920.0,https://rozetka.com.ua/ua/casio_ct_s1bkc7/p308943388/,308943388,10920.0,Цифрове піаніно Casio CT-S1 Black (CT-S1BKC7)
Alesis,Цифрові піаніно,19425.0,https://rozetka.com.ua/ua/alesis_recital_pro/p23715162/,23715162,19425.0,Цифрове піаніно Alesis Recital Pro
Casio,Цифрові піаніно,52650.0,https://rozetka.com.ua/ua/casio_ap_470bk/p47526792/,47526792,52650.0,Цифрове піаніно Casio AP-470 Black (AP-470BK)
Casio,Цифрові піаніно,35430.0,https://rozetka.com.ua/ua/casio_px_770bn/p28229129/,28229129,35430.0,Цифрове піаніно Casio Privia PX-770 Brown (PX-770BN)
Casio,Цифрові піаніно,37860.0,https://rozetka.com.ua/ua/casio_ap_270_bk/p38902608/,38902608,37860.0,Цифрове піаніно Casio Celviano AP-270 Black (AP-270 BK)
Yamaha,Цифрові піаніно,20799.0,https://rozetka.com.ua/ua/yamaha_np32wh/p16008758/,16008758,20799.0,Сценічне піаніно Yamaha NP-32 (NP32WH) White + блок живлення в подарунок!
Yamaha,Цифрові піаніно,33114.0,https://rozetka.com.ua/ua/yamaha_p125b/p42609448/,42609448,33114.0,Сценічне піаніно Yamaha P-125 Black (P125B) + блок живлення в подарунок!
Casio,Цифрові піаніно,46580.0,https://rozetka.com.ua/ua/casio_px_870we/p28266825/,28266825,45300.0,Цифрове піаніно Casio Privia PX-870 White (PX-870WE)
Yamaha,Цифрові піаніно,12807.0,https://rozetka.com.ua/ua/yamaha_np12b/p16008674/,16008674,12807.0,Сценічне піаніно Yamaha NP-12 (NP12B) Black + блок живлення в подарунок!
Casio,Цифрові піаніно,28600.0,https://rozetka.com.ua/ua/casio_px_s1100bk/p330542410/,330542410,28600.0,Цифрове піаніно Casio PX-S1100 Black (PX-S1100BK)
Kurzweil,Цифрові піаніно,24489.0,https://rozetka.com.ua/ua/219484369/p219484369/,219484369,23130.0,Цифрове піаніно Kurzweil KA-90 WH
Yamaha,Цифрові піаніно,33114.0,https://rozetka.com.ua/ua/211321147/p211321147/,211321147,0.0,Цифрове піаніно YAMAHA P-125WH
Kurzweil,Цифрові піаніно,90320.0,https://rozetka.com.ua/ua/325339741/p325339741/,325339741,0.0,Цифровой рояль Kurzweil KAG-100 WHP
Kurzweil,Цифрові піаніно,91260.0,https://rozetka.com.ua/ua/359190660/p359190660/,359190660,0.0,Цифровое пианино Kurzweil CUP320 WH
Kurzweil,Цифрові піаніно,49374.0,https://rozetka.com.ua/ua/217010953/p217010953/,217010953,0.0,Цифрове піаніно Kurzweil M210 SR
Kurzweil,Цифрові піаніно,31590.0,https://rozetka.com.ua/ua/212644567/p212644567/,212644567,0.0,Цифрове піаніно Kurzweil KA-120
Nord,Цифрові піаніно,146718.0,https://rozetka.com.ua/ua/217010875/p217010875/,217010875,0.0,Сценічне піаніно Nord Stage 3 Compact
Kurzweil,Цифрові піаніно,137920.0,https://rozetka.com.ua/ua/359190714/p359190714/,359190714,197028.0,Цифрове піаніно Kurzweil X-Pro MG EP
Yamaha,Цифрові піаніно,33114.0,https://rozetka.com.ua/ua/285348203/p285348203/,285348203,0.0,Цифрове піаніно Yamaha P-125 Black
Casio,Цифрові піаніно,35430.0,https://rozetka.com.ua/ua/354240207/p354240207/,354240207,0.0,Цифровое пианино CASIO PX-770 BN
Yamaha,Цифрові піаніно,69780.0,https://rozetka.com.ua/ua/289037203/p289037203/,289037203,0.0,Цифрове піаніно YAMAHA Clavinova CLP-725 (Dark Rosewood)
Kurzweil,Цифрові піаніно,29990.0,https://rozetka.com.ua/ua/347116218/p347116218/,347116218,0.0,Цифрове піаніно KURZWEIL M90 SR
Kurzweil,Цифрові піаніно,49370.0,https://rozetka.com.ua/ua/240087907/p240087907/,240087907,0.0,Цифрове піаніно Kurzweil M210 SR
Yamaha,Цифрові піаніно,221952.0,https://rozetka.com.ua/ua/337298770/p337298770/,337298770,0.0,Цифровое пианино YAMAHA Clavinova CLP-785 (Polished Ebony)
